Salary cap,Playoffs,Wins,Losses,PCT,FG,FG%,3P,3P%,2P,2P%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
98539675,No,34,39,0.466,41.2,0.468,11.4,0.358,29.8,0.529,19.9,0.834,9.8,33.8,43.5,27.2,7.7,4,14.8,22,113.6
98495848,No,34,39,0.466,42.5,0.468,10.9,0.347,31.6,0.532,16.6,0.763,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6
96552033,No,23,42,0.354,37.3,0.434,12.1,0.352,25.2,0.489,16.2,0.748,11,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9
153171497,No,39,43,0.476,39.6,0.45,11.3,0.349,28.3,0.509,15.1,0.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7
146291276,Yes,57,25,0.695,44,0.491,13.3,0.385,30.8,0.557,16.3,0.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7
144916427,Yes,49,33,0.598,42.6,0.454,11.4,0.348,31.3,0.51,17.8,0.713,12.6,35.5,48.1,23.4,9.3,5.2,14,22.4,114.5
137793831,Yes,58,24,0.707,42.2,0.474,12.4,0.366,29.8,0.539,17.7,0.804,9.6,35.6,45.2,25.4,8.3,5.3,14,21,114.4
130988604,Yes,60,22,0.732,43.4,0.476,13.5,0.353,29.9,0.565,17.9,0.773,9.3,40.4,49.7,26,7.5,5.9,13.9,19.6,118
130256600,Yes,53,29,0.646,42.3,0.467,11,0.359,31.3,0.523,19,0.814,11.8,36.2,48,23,6.7,5,13.8,20.4,114.7
126557932,Yes,41,41,0.5,38.8,0.44,12.1,0.348,26.7,0.5,17.3,0.747,11.4,33.6,45,22.5,6.9,4,13.8,22.1,107
126474100,Yes,53,29,0.646,39.2,0.449,16.1,0.356,23.1,0.551,19.3,0.791,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22,113.9
125334993,Yes,49,33,0.598,42.1,0.465,12.6,0.365,29.5,0.527,15.6,0.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4
125188633,No,33,49,0.402,38,0.45,9.9,0.342,28.1,0.505,17.7,0.772,8.8,33,41.8,23.9,8.3,5.5,14,22,103.5
123747588,No,32,50,0.39,42.1,0.468,11.3,0.341,30.8,0.543,18.4,0.768,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114
123387454,No,17,65,0.207,38.2,0.433,10,0.34,28.2,0.479,18.1,0.759,10.5,34.3,44.7,20.1,6.8,5.1,14,20.9,104.6
123255073,No,19,63,0.232,38.9,0.444,10.3,0.355,28.6,0.488,16.4,0.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20,104.5
121962221,No,36,46,0.439,41.6,0.456,10.1,0.351,31.5,0.504,19.1,0.787,11.3,33.5,44.8,24.6,8.3,5,13.1,20.3,112.5
121588790,Yes,48,34,0.585,42.3,0.478,9.9,0.392,32.4,0.513,17.2,0.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7
121427859,No,39,43,0.476,40.2,0.448,11.9,0.351,28.3,0.507,18.4,0.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7
118850600,Yes,42,40,0.512,40.3,0.449,12.8,0.353,27.5,0.513,19,0.745,11,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2
118327016,Yes,54,28,0.659,41.9,0.466,11,0.351,30.9,0.527,15.8,0.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20,110.7
118026816,Yes,48,34,0.585,41.3,0.471,10,0.388,31.3,0.507,22.6,0.792,9.7,35.8,45.5,24,6.8,4.7,14.5,23.3,115.1
116052756,No,33,49,0.402,43.7,0.473,10.3,0.344,33.4,0.536,17.8,0.761,11.1,36.2,47.3,27,7.4,5.4,14.8,21.1,115.4
115127167,Yes,51,31,0.622,41.5,0.471,10.8,0.359,30.7,0.529,21.2,0.771,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2
114394213,Yes,42,40,0.512,40.4,0.454,11.4,0.356,29,0.509,15,0.782,10,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3
113826156,Yes,50,32,0.61,40.4,0.468,12.1,0.356,28.3,0.541,18.8,0.736,10,36.4,46.4,26,8.1,5.9,15.1,21.1,111.7
112598201,No,22,60,0.268,39.8,0.453,9.1,0.351,30.7,0.496,16.2,0.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9
110724804,Yes,48,34,0.585,41.3,0.475,9.5,0.374,31.8,0.517,15.8,0.752,9.3,33.7,43,26,8.7,4.9,13.7,19.4,108
108692835,No,19,63,0.232,40.1,0.459,9.6,0.329,30.5,0.525,17.6,0.779,9.1,31.3,40.4,23.9,9,5.1,15.6,23.6,107.5
107225482,No,37,45,0.451,42.6,0.47,10.3,0.333,32.2,0.541,16.3,0.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8
101466920,No,39,43,0.476,43.2,0.464,11.3,0.378,31.9,0.504,16.5,0.726,11,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2
86958881,No,33,49,0.402,38.8,0.447,12.5,0.34,26.3,0.524,18.8,0.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9
79180081,No,29,53,0.354,41.4,0.451,13,0.352,28.4,0.518,17.6,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17,23.6,113.3
137722926,Yes,50,32,0.61,40.4,0.476,12,0.372,28.4,0.54,18.1,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9
137610134,Yes,58,24,0.707,42.8,0.503,11.3,0.391,31.5,0.56,16.6,0.815,8.4,35.1,43.5,29.3,8,7.5,15.5,19.6,113
134534640,Yes,48,34,0.585,39.9,0.453,10.7,0.354,29.1,0.505,17.3,0.716,12.5,32.6,45.1,21.3,9.1,5,14,20.2,107.9
133624374,Yes,44,38,0.537,38.8,0.455,11,0.36,27.8,0.508,14.7,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4
123306396,Yes,43,39,0.524,39.9,0.467,9.9,0.375,30,0.508,16.8,0.772,10,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6
